Price,Open,High,Low,Close,Volume
Ticker,MUTHOOTFIN.NS,MUTHOOTFIN.NS,MUTHOOTFIN.NS,MUTHOOTFIN.NS,MUTHOOTFIN.NS
Date,,,,,
2015-12-02,185.5,195.0,185.5,193.89999389648438,1143969
2015-12-03,194.9499969482422,198.0,192.0500030517578,195.75,359038
2015-12-04,192.0,199.4499969482422,190.0500030517578,195.60000610351562,165364
2015-12-07,196.0,198.35000610351562,187.0500030517578,190.0,181647
2015-12-08,188.0,189.0,186.0500030517578,186.14999389648438,50599
2015-12-09,186.9499969482422,189.5,182.8000030517578,183.85000610351562,48596
2015-12-10,183.0,185.5500030517578,180.60000610351562,184.14999389648438,80127
2015-12-11,182.14999389648438,190.0,172.0,180.75,2079573
2015-12-14,184.5,184.64999389648438,180.0,180.75,65513
2015-12-15,181.0,183.8000030517578,180.3000030517578,181.35000610351562,42877
2015-12-16,183.0500030517578,184.3000030517578,180.0,182.14999389648438,44638
2015-12-17,182.64999389648438,184.6999969482422,180.5,182.5500030517578,214268
2015-12-18,181.0,184.0,179.14999389648438,180.64999389648438,142339
2015-12-21,180.3000030517578,182.1999969482422,179.10000610351562,179.3000030517578,186651
2015-12-22,180.10000610351562,183.10000610351562,179.0,179.5,74554
2015-12-23,180.10000610351562,182.6999969482422,177.89999389648438,180.0,246208
2015-12-24,181.4499969482422,181.75,178.0,178.35000610351562,155830
2015-12-28,178.0,179.8000030517578,178.0,178.85000610351562,118754
2015-12-29,180.4499969482422,180.4499969482422,176.1999969482422,177.10000610351562,148065
2015-12-30,179.85000610351562,180.0,175.25,178.8000030517578,216444
2015-12-31,178.10000610351562,182.0,177.4499969482422,179.64999389648438,178428
2016-01-01,180.3000030517578,180.3000030517578,177.6999969482422,178.75,26726
2016-01-04,178.10000610351562,179.6999969482422,177.0,178.35000610351562,69265
2016-01-05,179.5,179.60000610351562,177.10000610351562,177.4499969482422,264505
2016-01-06,178.0,178.3000030517578,176.1999969482422,177.1999969482422,66664
2016-01-07,176.3000030517578,179.5,174.5,178.0,803091
2016-01-08,179.0,192.25,177.6999969482422,185.8000030517578,248420
2016-01-11,184.0,188.0,182.3000030517578,185.85000610351562,121914
2016-01-12,185.0,190.64999389648438,184.14999389648438,189.89999389648438,200154
2016-01-13,188.10000610351562,191.9499969482422,178.10000610351562,180.35000610351562,393672
2016-01-14,178.6999969482422,188.0,177.0,185.0,142113
